id,created_at,name,description,image_url,video_url,release_date,language,status,director_id,studio_id
36,2023-02-03 12:02:44.703719+00,The Gray Man,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/5Eom3JsXgQlCj6QIsGCwXkX7wyH.jpg,https://youtu.be/BmllggGO4pM,2022-07-15,English,2,21,15
37,2023-02-03 12:09:17.013905+00,Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,https://youtu.be/JOddp-nlNvQ,2011-10-03,English,2,22,9
38,2023-02-03 12:12:28.281248+00,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,https://youtu.be/v7MGUNV8MxU,2017-11-03,English,2,23,9
39,2023-02-03 12:14:47.350777+00,Thor: The Dark World,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,https://youtu.be/7p7rocHEecE,2013-10-30,English,2,24,9
40,2023-02-03 12:16:54.1402+00,Extraction,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/nygOUcBKPHFTbxsYRFZVePqgPK6.jpg,https://youtu.be/L6P3nI6VnlY,2020-04-24,English,2,25,15
41,2023-02-03 12:20:36.164312+00,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/j18021qCeRi3yUBtqd2UFj1c0RQ.jpg,https://youtu.be/-Denciie5oA,2018-01-19,English,2,26,16
42,2023-02-03 12:23:28.788753+00,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,https://youtu.be/RxAtuMu_ph4,2021-07-09,English,2,27,9
43,2023-02-03 12:26:14.62091+00,Arrival ,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg,https://youtu.be/gwqSi_ToNPs,2017-01-06,English,2,28,1
44,2023-02-03 12:29:01.942324+00,The Hurt Locker,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/m2duGsKjBOl3BB8uFOTnRUzdEhg.jpg,https://youtu.be/HIoctqfxNYY,2009-06-02,English,2,29,17
45,2023-02-03 12:34:36.493598+00,Wind River,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/pySivdR845Hom4u4T2WNkJxe6Ad.jpg,https://youtu.be/CZgN0dpFoaE,2017-08-04,English,2,30,18
46,2023-02-03 12:37:03.104078+00,The Bourne Legacy,New CIA operative Aaron Cross experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne.,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1aExL5DTGHj25ZfIC3dDwS84RWi.jpg,https://youtu.be/JXM8Odxejco,2012-08-10,English,2,31,12
47,2023-02-03 12:39:12.144873+00,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4Ky7xCXPMKXGopstPjwPRd4ZDrj.jpg,https://youtu.be/xInh3VhAWs8,2015-07-16,English,2,32,9
48,2023-02-03 12:40:33.074516+00,Ant-Man and the Wasp,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/cFQEO687n1K6umXbInzocxcnAQz.jpg,https://youtu.be/8_rTIAOohas,2018-07-06,English,2,32,9
53,2023-02-03 12:51:59.66045+00,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,https://youtu.be/YK5hbs4LOI8,2017-03-10,English,2,37,7
54,2023-02-03 12:57:02.641564+00,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,https://youtu.be/rk-dF1lIbIg,2015-07-05,English,2,38,8
57,2023-02-03 13:02:40.809263+00,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,https://youtu.be/eHp3MbsCbMg,2022-02-18,English,2,39,8
62,2023-02-04 02:56:17.130877+00,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,https://youtu.be/RFinNxS5KN4,2015-06-10,English,2,41,12
64,2023-02-04 03:03:05.149412+00,Passengers,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/jK9S6HANSf2no64v1x1HxfcpmcA.jpg,https://youtu.be/7BWWWQzTpNU,2016-12-23,English,2,43,8
65,2023-02-04 03:10:32.78937+00,The Hunger Games,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games. Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains. Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy. If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/mgZKtOvxtDX5HtUa5fAVQ5d1Afh.jpg,https://youtu.be/mfmrPu43DF8,2012-03-23,English,2,44,19
67,2023-02-04 03:14:07.073508+00,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zxfeReZ7MnRLIRU5kBu9ZlHxnbA.jpg,https://youtu.be/JzcYyzCZdiM,2014-11-21,English,2,45,19
68,2023-02-04 03:15:11.770172+00,The Hunger Games: Mockingjay - Part 2,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/lImKHDfExAulp16grYm8zD5eONE.jpg,https://youtu.be/-0wdVrC4OM4,2015-11-18,English,2,45,19
70,2023-02-04 03:20:05.701586+00,The Tomorrow War,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg,https://youtu.be/Ob4NC4D6zTU,2021-07-02,English,2,46,20
75,2023-02-04 03:34:34.835111+00,The Bourne Ultimatum,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/xqf7mzA77LmMJByvwxRLNdw5pz4.jpg,https://youtu.be/ZT2ZxjUjSo0,2007-08-03,English,2,48,12
78,2023-02-04 08:33:12.667386+00,Mr. & Mrs. Smith,"After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/wzIO3ytxeSNt1wRpXLIdkNbGoDm.jpg,https://youtu.be/TWB_icm5M38,2005-06-09,English,2,3,2
82,2023-02-04 08:47:14.000765+00,Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/vloNTScJ3w7jwNwtNGoG8DbTThv.jpg,https://youtu.be/5MwW1NAsnR8,2019-10-18,English,2,53,21
86,2023-02-04 09:05:13.945644+00,Transformers: Dark of the Moon,"The Autobots continue to work for NEST, now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl, it becomes apparent to Optimus Prime that the United States government has been less than forthright with them.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/28YlCLrFhONteYSs9hKjD1Km0Cj.jpg,https://youtu.be/XeUtb5L9iNE,2011-06-28,English,2,55,1
