id,movie_id,actor_id,created_at
218,53,120,2023-02-03 12:51:59.816262+00
219,54,12,2023-02-03 12:57:02.771813+00
220,54,5,2023-02-03 12:57:02.771813+00
221,54,115,2023-02-03 12:57:02.771813+00
222,54,121,2023-02-03 12:57:02.771813+00
223,54,122,2023-02-03 12:57:02.771813+00
224,55,12,2023-02-03 12:58:30.56089+00
225,55,121,2023-02-03 12:58:30.56089+00
226,55,22,2023-02-03 12:58:30.56089+00
227,55,122,2023-02-03 12:58:30.56089+00
228,56,12,2023-02-03 13:00:16.653072+00
229,56,117,2023-02-03 13:00:16.653072+00
230,56,121,2023-02-03 13:00:16.653072+00
231,56,122,2023-02-03 13:00:16.653072+00
232,57,12,2023-02-03 13:02:41.09067+00
233,57,39,2023-02-03 13:02:41.09067+00
238,60,13,2023-02-04 02:51:07.760185+00
239,60,29,2023-02-04 02:51:07.760185+00
240,60,123,2023-02-04 02:51:07.760185+00
241,61,13,2023-02-04 02:52:19.850668+00
242,61,123,2023-02-04 02:52:19.850668+00
243,61,29,2023-02-04 02:52:19.850668+00
244,62,13,2023-02-04 02:56:17.267124+00
245,62,124,2023-02-04 02:56:17.267124+00
246,63,13,2023-02-04 02:58:59.014512+00
247,63,124,2023-02-04 02:58:59.014512+00
248,64,13,2023-02-04 03:03:05.277787+00
249,64,125,2023-02-04 03:03:05.277787+00
250,65,125,2023-02-04 03:10:32.9122+00
251,65,126,2023-02-04 03:10:32.9122+00
252,65,129,2023-02-04 03:10:32.9122+00
253,66,125,2023-02-04 03:12:26.339554+00
254,66,126,2023-02-04 03:12:26.339554+00
255,66,129,2023-02-04 03:12:26.339554+00
256,67,125,2023-02-04 03:14:07.208459+00
257,67,126,2023-02-04 03:14:07.208459+00
258,67,129,2023-02-04 03:14:07.208459+00
259,68,125,2023-02-04 03:15:11.905289+00
260,68,126,2023-02-04 03:15:11.905289+00
261,68,129,2023-02-04 03:15:11.905289+00
262,69,128,2023-02-04 03:16:45.040935+00
263,69,125,2023-02-04 03:16:45.040935+00
264,69,127,2023-02-04 03:16:45.040935+00
265,70,13,2023-02-04 03:20:05.841033+00
266,71,13,2023-02-04 03:21:40.499507+00
267,71,124,2023-02-04 03:21:40.499507+00
268,72,10,2023-02-04 03:25:29.207854+00
269,72,109,2023-02-04 03:25:29.207854+00
